2015-08-28,全銘柄日足,http://k-db.com/
コード,銘柄名,市場,業種,始値,高値,安値,終値,出来高,売買代金
F101-1606,日経平均先物 2016年06月限,大証夜間,先物,18810,18940,18800,18940,30,566560
F101-1609,日経平均先物 2016年09月限,大証夜間,先物,18870,18900,18760,18900,12,226000
F101-1612,日経平均先物 2016年12月限,大証夜間,先物,18810,18810,18810,18810,1,18810
F101-1706,日経平均先物 2017年06月限,大証夜間,先物,18660,18660,18660,18660,1,18660
F101-1712,日経平均先物 2017年12月限,大証夜間,先物,-,-,-,-,0,0
F101-1806,日経平均先物 2018年06月限,大証夜間,先物,-,-,-,-,0,0
F101-1812,日経平均先物 2018年12月限,大証夜間,先物,-,-,-,-,0,0
F101-1906,日経平均先物 2019年06月限,大証夜間,先物,-,-,-,-,0,0
F101-1912,日経平均先物 2019年12月限,大証夜間,先物,-,-,-,-,0,0
F101-2006,日経平均先物 2020年06月限,大証夜間,先物,-,-,-,-,0,0
F102-1509,日経225mini先物 2015年09月限,大証夜間,先物,19110,19190,18960,19140,500837,9549016060
F102-1510,日経225mini先物 2015年10月限,大証夜間,先物,19010,19085,18855,19040,5385,102136245
F102-1511,日経225mini先物 2015年11月限,大証夜間,先物,19015,19090,18870,19035,1210,22957855
F102-1512,日経225mini先物 2015年12月限,大証夜間,先物,19015,19100,18865,19050,27666,524877575
F102-1601,日経225mini先物 2016年01月限,大証夜間,先物,18995,19085,18885,19015,319,6066215
F102-1603,日経225mini先物 2016年03月限,大証夜間,先物,19005,19075,18850,19030,847,16061500
F102-1606,日経225mini先物 2016年06月限,大証夜間,先物,18870,18960,18775,18900,152,2866420
F102-1609,日経225mini先物 2016年09月限,大証夜間,先物,18850,18880,18750,18850,68,1280775
F102-1612,日経225mini先物 2016年12月限,大証夜間,先物,18760,18835,18645,18835,65,1215210
F102-1706,日経225mini先物 2017年06月限,大証夜間,先物,18525,18820,18500,18820,6,111425
F102-1712,日経225mini先物 2017年12月限,大証夜間,先物,18380,18380,18380,18380,1,18380
F102-1806,日経225mini先物 2018年06月限,大証夜間,先物,18370,18370,18370,18370,1,18370
F102-1812,日経225mini先物 2018年12月限,大証夜間,先物,-,-,-,-,0,0
F102-1906,日経225mini先物 2019年06月限,大証夜間,先物,18060,18060,18060,18060,3,54180
F102-1912,日経225mini先物 2019年12月限,大証夜間,先物,17850,17950,17850,17950,4,71500
F102-2006,日経225mini先物 2020年06月限,大証夜間,先物,-,-,-,-,0,0
F103-1509,JPX日経400先物 2015年09月限,大証夜間,先物,13925,14015,13810,13975,3360,46699745
F103-1512,JPX日経400先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0
F103-1603,JPX日経400先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0
F103-1606,JPX日経400先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
F103-1609,JPX日経400先物 2016年09月限,大証夜間,先物,-,-,-,-,0,0
F104-1509,TOPIX先物 2015年09月限,大証夜間,先物,1550.00,1560.00,1535.00,1555.00,12497,19309374.00
F104-1512,TOPIX先物 2015年12月限,大証夜間,先物,1536.50,1539.50,1531.00,1537.00,45,69079.50
F104-1603,TOPIX先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.00
F104-1606,TOPIX先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0.00
F104-1609,TOPIX先物 2016年09月限,大証夜間,先物,-,-,-,-,0,0.00
F105-1509,ミニTOPIX先物 2015年09月限,大証夜間,先物,1548.25,1559.75,1535.00,1556.00,4574,7063502.50
F105-1512,ミニTOPIX先物 2015年12月限,大証夜間,先物,1557.25,1557.25,1534.00,1534.00,2,3091.25
F105-1603,ミニTOPIX先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.00
F108-1509,東証REIT指数先物 2015年09月限,大証夜間,先物,-,-,-,-,0,0.0
F108-1512,東証REIT指数先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0.0
F108-1603,東証REIT指数先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0.0
F109-1509,大証NYダウ先物 2015年09月限,大証夜間,先物,16587,16640,16479,16601,199,3296224
F109-1512,大証NYダウ先物 2015年12月限,大証夜間,先物,-,-,-,-,0,0
F109-1603,大証NYダウ先物 2016年03月限,大証夜間,先物,-,-,-,-,0,0
F109-1606,大証NYダウ先物 2016年06月限,大証夜間,先物,-,-,-,-,0,0
1301-T,極洋,東証1部,水産・農林業,268,268,265,267,154000,41055000
1305-T,ダイワ上場投信-トピックス,東証,その他,1592,1605,1582,1599,333920,531321130
1306-T,TOPIX連動型上場投資信託,東証,その他,1571,1585,1561,1579,6265910,9858971200
1308-T,上場インデックスファンドTOPIX,東証,その他,1554,1567,1544,1561,342800,533861800
1309-T,上海株式指数・上証50連動型上場投資信託,東証,その他,32800,32800,31800,32450,4835,156694400
1310-T,ダイワ上場投信-トピックス・コア30,東証,その他,755,758,748,756,2920,2207200
1311-T,TOPIX Core 30 連動型上場投資信託,東証,その他,765,782,765,780,23640,18345020
1312-T,ラッセル野村小型コア・インデックス連動型上場投資信託,東証,その他,17240,17240,17100,17100,204,3514300
1313-T,サムスンKODEX200証券上場指数投資信託,東証,その他,2271,2339,2271,2339,30,68810
1314-T,上場インデックスファンドS&P日本新興株100,東証,その他,1001,1039,1001,1039,2100,2134500
1319-T,日経300株価指数連動型上場投資信託,東証,その他,304,314,304,307,9000,2785000
1319-F,日経300株価指数連動型上場投資信託,福証,その他,-,-,-,-,0,0
1319-S,日経300株価指数連動型上場投資信託,札証,その他,-,-,-,-,0,0
1320-T,ダイワ上場投信-日経225,東証,その他,19390,19550,19310,19480,97550,1893271610
1321-T,日経225連動型上場投資信託,東証,その他,19360,19560,19290,19480,637365,12369106140
1322-T,上場インデックスファンド中国A株（パンダ）CSI300,東証,その他,4360,4470,4350,4395,10960,48049050
1323-T,NEXT FUNDS 南アフリカ株式指数・FTSE/JSE Africa Top40連動型上場投信,東証,その他,365,375,365,370,11500,4219400
1324-T,NEXT FUNDS ロシア株式指数・RTS連動型上場投信,東証,その他,94,96,94,96,349600,33243100
1325-T,NEXT FUNDS ブラジル株式指数・ボベスパ連動型上場投信,東証,その他,138,140,137,138,267200,37073000
1326-T,SPDRゴールド・シェア,東証,その他,13050,13130,13040,13130,2546,33324450
1327-T,S&P GSCI商品指数キャップド･コンポーネント35/20･THEAM･イージーUCITS･ETFクラスA米ドル建,東証,その他,3795,3795,3650,3650,38,142770
1328-T,金価格連動型上場投資信託,東証,その他,3805,3820,3775,3820,2570,9785200
1329-T,iシェアーズ 日経225 ETF,東証,その他,19460,19620,19390,19560,18994,369878600
1330-T,上場インデックスファンド225,東証,その他,19410,19610,19350,19540,134370,2616033300
1332-T,日本水産,東証1部,水産・農林業,372,384,367,381,2637000,997342600
1333-T,マルハニチロ,東証1部,水産・農林業,1800,1838,1787,1834,151000,274374700
1343-T,NEXT FUNDS 東証REIT指数連動型上場投信,東証,その他,1741,1754,1736,1738,269140,469373580
1344-T,MAXIS トピックス・コア30上場投信,東証,その他,730,744,729,738,12290,9042560
1345-T,上場インデックスファンドJリート（東証REIT指数）隔月分配型,東証,その他,1670,1674,1657,1672,36100,60193800
1346-T,MAXIS 日経225上場投信,東証,その他,19460,19630,19370,19560,88785,1732594090
1347-T,上場インデックスファンドFTSE日本グリーンチップ35,東証,その他,-,-,-,-,0,0
1348-T,MAXIS トピックス上場投信,東証,その他,1573,1586,1564,1579,135260,212972150
1349-T,ABF汎アジア債券インデックス・ファンド,東証,その他,13480,13550,13410,13410,183,2459520
1352-T,ホウスイ,東証1部,卸売業,130,134,130,133,135000,17868000
1356-T,TOPIXベア2倍上場投信,東証,その他,5170,5220,5050,5100,266830,1370297900
1357-T,NEXT FUNDS 日経平均ダブルインバース・インデックス連動型上場投信,東証,その他,2950,2970,2885,2907,12704693,37273713715
1358-T,上場インデックスファンド日経レバレッジ指数,東証,その他,14490,14660,14300,14580,19327,279497430
1360-T,日経平均ベア2倍上場投信,東証,その他,7000,7060,6860,6910,363530,2532782500
1361-T,iシェアーズ 米国ハイイールド債券ETF（iBoxxドル建てLHYC）,東証,その他,12900,12900,12600,12620,1280,16345910
1362-T,iシェアーズ 新興国債券ETF（バークレイズLocal EM国債コア）,東証,その他,7670,7680,7600,7620,1774,13519000
1363-T,iシェアーズ 米国債ETF（バークレイズ米10年国債）,東証,その他,23910,23950,23870,23950,38,908740
1364-T,iシェアーズ JPX日経400 ETF,東証,その他,13940,14020,13870,13990,11331,158243350
1365-T,ダイワ上場投信-日経平均レバレッジ・インデックス,東証,その他,11670,11890,11590,11820,232561,2726487080
1366-T,ダイワ上場投信-日経平均ダブルインバース・インデックス,東証,その他,7650,7700,7480,7550,83718,637513750
1367-T,ダイワ上場投信-TOPIXレバレッジ（2倍）指数,東証,その他,11890,12120,11780,12020,50054,597321490
1368-T,ダイワ上場投信-TOPIXダブルインバース（-2倍）指数,東証,その他,7550,7640,7410,7500,19053,143090640
1369-T,DIAM ETF 日経225,東証,その他,19000,19180,18960,19120,6282,119817820
1376-T,カネコ種苗,東証2部,水産・農林業,1101,1110,1090,1095,33100,36389300
1377-T,サカタのタネ,東証1部,水産・農林業,1975,1978,1931,1953,91400,177865600
1379-T,ホクト,東証1部,水産・農林業,2219,2246,2184,2245,47500,105436300
1380-T,秋川牧園,JQスタンダード,水産・農林業,-,-,-,-,0,0
1381-T,アクシーズ,JQスタンダード,水産・農林業,2071,2199,2071,2113,2500,5317500
1382-T,ホーブ,JQスタンダード,水産・農林業,1168,1252,1166,1252,600,717200
1383-T,ベルグアース,JQスタンダード,水産・農林業,1358,1391,1331,1391,1300,1789000
1384-T,ホクリヨウ,東証2部,水産・農林業,741,796,741,787,48200,37071600
1385-T,UBS ETF ユーロ圏大型株50（ユーロ・ストックス50）,東証,その他,4500,4640,4465,4470,2336,10628560
1386-T,UBS ETF 欧州株（MSCIヨーロッパ）,東証,その他,8310,8400,8210,8270,756,6295070
1387-T,UBS ETF 欧州通貨圏株（MSCI EMU）,東証,その他,15180,15180,15020,15020,75,1134500
1388-T,UBS ETF 欧州通貨圏小型株（MSCI EMU小型株）,東証,その他,11340,11340,10900,10900,539,6022800
1389-T,UBS ETF 英国大型株100（FTSE 100）,東証,その他,-,-,-,-,0,0
1390-T,UBS ETF MSCIアジア太平洋株（除く日本）,東証,その他,4430,4490,4380,4390,86,382530
1391-T,UBS ETF スイス株（MSCIスイス20／35）,東証,その他,2040,2044,2031,2032,203,413230
1392-T,UBS ETF 英国株（MSCI英国）,東証,その他,2960,2960,2955,2955,19,56190
1393-T,UBS ETF 米国株（MSCI米国）,東証,その他,23040,23500,22930,23000,59,1361950
1394-T,UBS ETF 先進国株（MSCIワールド）,東証,その他,20080,20100,20030,20030,8,160360
1397-T,SMAM 日経225上場投信,東証,その他,19190,19530,19110,19220,184,3535050
1398-T,SMAM 東証REIT指数上場投信,東証,その他,1673,1677,1657,1677,2220,3712620
1400-T,ルーデン・ホールディングス,JQグロース,建設業,206,212,203,206,159800,33247700
1401-T,エムビーエス,東証マザーズ,建設業,2300,2310,2300,2310,300,691000
1401-F,エムビーエス,福証Q-Board,建設業,-,-,-,-,0,0
1405-T,サーラ住宅,東証2部,建設業,789,791,777,790,1400,1101300
1407-T,ウエストホールディングス,JQスタンダード,建設業,740,753,725,747,397400,293347600
1408-T,サムシングホールディングス,JQグロース,建設業,500,502,491,499,3000,1496200
1414-T,ショーボンドホールディングス,東証1部,建設業,4985,5070,4915,5000,135700,678541500
1417-T,ミライト・ホールディングス,東証1部,建設業,1153,1182,1147,1152,296400,344158700
1418-T,インターライフホールディングス,JQスタンダード,建設業,246,250,246,248,83600,20703700
1419-T,タマホーム,東証1部,建設業,498,504,491,502,58300,29099300
1419-F,タマホーム,福証,建設業,-,-,-,-,0,0
1420-T,サンヨーホームズ,東証1部,建設業,566,581,565,578,19800,11394600
1427-T,HABITA CRAFT,東証TPM,建設業,-,-,-,-,0,0
1429-T,日本アクア,東証マザーズ,建設業,394,405,381,386,72000,28031300
1430-T,ファーストコーポレーション,東証マザーズ,建設業,3950,3995,3895,3995,10800,42623500
1431-F,エスケーホーム,福証Q-Board,建設業,757,808,757,765,4400,3442500
1432-T,スズキ太陽技術,東証TPM,建設業,-,-,-,-,0,0
1456-T,ダイワ上場投信-日経平均インバース・インデックス,東証,その他,10320,10360,10280,10280,487,5035350
1457-T,ダイワ上場投信-TOPIXインバース（-1倍）指数,東証,その他,10320,10350,10230,10290,1751,18120020
1458-T,楽天ETF-日経レバレッジ指数連動型,東証,その他,8540,8730,8510,8670,137129,1178432150
1459-T,楽天ETF-日経ダブルインバース指数連動型,東証,その他,11200,11320,11000,11070,62704,699726370
1464-T,ダイワ上場投信-JPX日経400レバレッジ・インデックス,東証,その他,9480,9610,9390,9560,24552,233227530
1465-T,ダイワ上場投信-JPX日経400インバース・インデックス,東証,その他,10140,10180,10120,10120,3272,33191770
1466-T,ダイワ上場投信-JPX日経400ダブルインバース・インデックス,東証,その他,10240,10370,10100,10180,23471,240371950
1467-T,JPX日経400ブル2倍上場投信（レバレッジ）,東証,その他,9480,9630,9380,9560,53750,511212900
1468-T,JPX日経400ベア上場投信（インバース）,東証,その他,10130,10190,10090,10130,23020,233080000
1469-T,JPX日経400ベア2倍上場投信（ダブルインバース）,東証,その他,10220,10340,10070,10140,26550,270269300
1470-T,NEXT FUNDS JPX日経400レバレッジ・インデックス連動型上場投信,東証,その他,19140,19410,18980,19330,26962,517460070
1471-T,NEXT FUNDS JPX日経400インバース・インデックス連動型上場投信,東証,その他,6590,6600,6560,6560,295,1946470
